job_1453472506771_853945	oozie:launcher:T=hive:W=Rats-Converter-WF:A=UpdateMaxScanId:ID=1-0-oozie-oozi-W	manish_satalkar	MAPREDUCE	star_research_queue	1474541240607	1474541276747	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853945/jobhistory/job/job_1453472506771_853945	00:00:36	NO
job_1453472506771_853717	oozie:launcher:T=hive:W=NDNSLOG_WORKFLOW_TRIGGER:A=loadDataIntoHive:ID=4-0-oozie-oozi-W	ndnslog	MAPREDUCE	star_etl_queue	1474537114628	1474541332431	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853717/jobhistory/job/job_1453472506771_853717	01:10:17	NO
job_1453472506771_853950	oozie:launcher:T=java:W=NDNSLOG_WORKFLOW_TRIGGER:A=updateDiffLog:ID=4-0-oozie-oozi-W	ndnslog	MAPREDUCE	star_etl_queue	1474541334147	1474541343491	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853950/jobhistory/job/job_1453472506771_853950	00:00:09	NO
job_1453472506771_853927	INSERT INTO TABLE loadingSTATE SEL...staging(Stage-1)	ndnslog	MAPREDUCE	star_etl_queue	1474540959203	1474541329135	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853927/jobhistory/job/job_1453472506771_853927	00:06:09	NO
job_1453472506771_853952	TempletonControllerJob	queryx	MAPREDUCE	default	1474541406645	1474541431433	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853952/jobhistory/job/job_1453472506771_853952	00:00:24	NO
job_1453472506771_853925	SELECT c.* FROM alan_meng.cfc_files c...NULL(Stage-1)	alan_meng	MAPREDUCE	star_research_queue	1474540852012	1474541374654	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853925/jobhistory/job/job_1453472506771_853925	00:08:42	NO
job_1453472506771_853933	SELECT server_date AS date, co...server_date(Stage-1)	aishwarya_lonkar	MAPREDUCE	star_research_queue	1474541074731	1474541416840	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853933/jobhistory/job/job_1453472506771_853933	00:05:42	NO
job_1453472506771_853953	select server_ts as time,       ...::'(Stage-1)	starq	MAPREDUCE	star_research_queue	1474541436679	1474541464329	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853953/jobhistory/job/job_1453472506771_853953	00:00:27	NO
job_1453472506771_853937	CREATE TABLE fn1_file_machine_...(file_sha2)(Stage-3)	sdmagg	MAPREDUCE	star_production_queue	1474541139102	1474541482994	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853937/jobhistory/job/job_1453472506771_853937	00:05:43	NO
job_1453472506771_853939	INSERT OVERWRITE TABLE site_partition_la...1(Stage-3)	mrcreff	MAPREDUCE	star_etl_queue	1474541169765	1474541515531	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853939/jobhistory/job/job_1453472506771_853939	00:05:45	NO
job_1453472506771_853955	INSERT OVERWRITE TABLE signer_issuer_sub...1(Stage-1)	mrcreff	MAPREDUCE	star_etl_queue	1474541518428	1474541535682	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853955/jobhistory/job/job_1453472506771_853955	00:00:17	NO
job_1453472506771_853841	PigLatin:getMultipleLabelsPerSample.pig	mutantx	MAPREDUCE	star_production_queue	1474539231667	1474541605228	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853841/jobhistory/job/job_1453472506771_853841	00:39:33	NO
job_1453472506771_853839	oozie:launcher:T=pig:W=Mutantx-SFC-IncrementalLabelling-1.0.2:A=GenerateMultipleLabels:ID=2-0-oozie-oozi-W	mutantx	MAPREDUCE	star_production_queue	1474539218041	1474541610457	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853839/jobhistory/job/job_1453472506771_853839	00:39:52	NO
job_1453472506771_853944	SELECT      server_date,      total_avp...(Stage-1)	alan_meng	MAPREDUCE	star_research_queue	1474541246802	1474541594829	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853944/jobhistory/job/job_1453472506771_853944	00:05:48	NO
job_1453472506771_853956	INSERT OVERWRITE TABLE signer_issuer_sub...1(Stage-2)	mrcreff	MAPREDUCE	star_etl_queue	1474541537843	1474541555137	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853956/jobhistory/job/job_1453472506771_853956	00:00:17	NO
job_1453472506771_853959	oozie:launcher:T=hive:W=Mutantx-SFC-IncrementalLabelling-1.0.2:A=loadMulipleLabelstoHive:ID=2-0-oozie-oozi-W	mutantx	MAPREDUCE	star_production_queue	1474541614545	1474541635777	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853959/jobhistory/job/job_1453472506771_853959	00:00:21	NO
job_1453472506771_853949	INSERT OVERWRITE TABL..._evaluation_history'(Stage-1)	manish_satalkar	MAPREDUCE	star_research_queue	1474541298402	1474541645656	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853949/jobhistory/job/job_1453472506771_853949	00:05:47	NO
job_1453472506771_853913	INSERT INTO TABLE file_sha2_hash_daily_s...1(Stage-4)	mrcreff	MAPREDUCE	star_etl_queue	1474540666884	1474541641793	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853913/jobhistory/job/job_1453472506771_853913	00:16:14	NO
job_1453472506771_853948	oozie:launcher:T=hive:W=Rats-Converter-WF:A=CreateGetNewLoadingState:ID=1-0-oozie-oozi-W	manish_satalkar	MAPREDUCE	star_research_queue	1474541280298	1474541647681	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853948/jobhistory/job/job_1453472506771_853948	00:06:07	NO
job_1453472506771_853799	oozie:launcher:T=hive:W=wf_mrcreff_daily_state_load:A=loadDataIntoHiveFileSha2DailyState:ID=3-0-oozie-oozi-W	mrcreff	MAPREDUCE	star_etl_queue	1474538717253	1474541644442	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853799/jobhistory/job/job_1453472506771_853799	00:48:47	NO
job_1453472506771_853965	oozie:launcher:T=java:W=Rats-Converter-WF:A=IncreCreateAutomicTableUpdateDir:ID=1-0-oozie-oozi-W	manish_satalkar	MAPREDUCE	star_research_queue	1474541660256	1474541668585	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853965/jobhistory/job/job_1453472506771_853965	00:00:08	NO
job_1453472506771_853957	INSERT OVERWRITE TABLE signer_issuer_sub...1(Stage-3)	mrcreff	MAPREDUCE	star_etl_queue	1474541558053	1474541659649	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853957/jobhistory/job/job_1453472506771_853957	00:01:41	NO
job_1453472506771_853963	oozie:launcher:T=java:W=Rats-Converter-WF:A=GetMinScanIdFromNewLoadingState:ID=1-0-oozie-oozi-W	manish_satalkar	MAPREDUCE	star_research_queue	1474541649383	1474541658584	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853963/jobhistory/job/job_1453472506771_853963	00:00:09	NO
job_1453472506771_853960	oozie:launcher:T=shell:W=Mutantx-SFC-IncrementalLabelling-1.0.2_GetSingleLabel:A=startTime:ID=0-0-oozie-oozi-W	mutantx	MAPREDUCE	star_production_queue	1474541637884	1474541646610	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_853960/jobhistory/job/job_1453472506771_853960	00:00:08	NO
