job_1453472506771_762788	oozie:launcher:T=java:W=SWCrawl_Conv_WF:A=updateDiffLog:ID=0-0-oozie-oozi-W	swcrawl	star_etl_queue	Mon 2016-Aug-29 23:22:45	Mon 2016-Aug-29 23:23:2	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_762788/jobhistory/job/job_1453472506771_762788	00:00:16
job_1453472506771_761117	oozie:launcher:T=java:W=prod.ipspingExportWorkflow:A=QueryLatestLoadInstId:ID=9-0-oozie-oozi-W	taahadoop	star_production_queue	Mon 2016-Aug-29 14:0:3	Mon 2016-Aug-29 14:6:29	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_761117/jobhistory/job/job_1453472506771_761117	00:06:25
job_1453472506771_756226	TempletonControllerJob	queryx	default	Sun 2016-Aug-28 14:0:29	Sun 2016-Aug-28 14:0:54	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_756226/jobhistory/job/job_1453472506771_756226	00:00:24
job_1453472506771_760643	CREATE TABLE fn1_file_machine_...(file_sha2)(Stage-1)	sdmagg	star_production_queue	Mon 2016-Aug-29 12:3:57	Mon 2016-Aug-29 12:12:1	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_760643/jobhistory/job/job_1453472506771_760643	00:08:03
job_1453472506771_755532	oozie:launcher:T=hive:W=wf_mrcreff_daily_state_load:A=storefilesha2lastloaddate:ID=1-0-oozie-oozi-W	mrcreff	star_etl_queue	Sun 2016-Aug-28 10:0:15	Sun 2016-Aug-28 10:1:16	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_755532/jobhistory/job/job_1453472506771_755532	00:01:01
job_1453472506771_754871	select count(distinct ...client_country_code(Stage-2)	starq	star_research_queue	Sun 2016-Aug-28 5:28:4	Sun 2016-Aug-28 5:30:31	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_754871/jobhistory/job/job_1453472506771_754871	00:02:27
job_1453472506771_762048	TempletonControllerJob	queryx	default	Mon 2016-Aug-29 18:50:7	Mon 2016-Aug-29 18:50:37	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_762048/jobhistory/job/job_1453472506771_762048	00:00:30
job_1453472506771_755881	INSERT INTO TABLE trojscan_daily_state P...1(Stage-1)	mrcreff	star_etl_queue	Sun 2016-Aug-28 11:34:18	Sun 2016-Aug-28 11:34:36	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_755881/jobhistory/job/job_1453472506771_755881	00:00:18
job_1453472506771_760310	oozie:launcher:T=java:W=piiping_Incremenatl_Workflow:A=LoadInstanceIDCalculation:ID=7-0-oozie-oozi-W	piiping	star_etl_queue	Mon 2016-Aug-29 11:2:27	Mon 2016-Aug-29 11:2:37	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_760310/jobhistory/job/job_1453472506771_760310	00:00:09
job_1453472506771_763043	oozie:launcher:T=java:W=prod.avpingExportWorkflow:A=SetActionData:ID=9-0-oozie-oozi-W	taahadoop	star_production_queue	Tue 2016-Aug-30 1:6:26	Tue 2016-Aug-30 1:7:6	SUCCEEDED	http://b0d004ash2003.prod.symcpe.net:8088/proxy/application_1453472506771_763043/jobhistory/job/job_1453472506771_763043	00:00:39
